Date,Close,Open,Volume,Num Arrests,Mean.TemperatureF,PrecipitationIn,Events,season,Year,Week,Month
2014-07-09,1972.8299559999998,1965.0999760000002,2858800000,1437,78.0,0.01,,Summer,2014,28,7
2014-07-10,1964.680054,1966.6700440000002,3165690000,1486,78.0,0.03,Rain-Thunderstorm,Summer,2014,28,7
2014-07-11,1967.569946,1965.7600100000002,2684630000,1178,76.0,0.00,,Summer,2014,28,7
2014-07-14,1977.0999760000002,1969.859985,2744920000,883,77.0,1.87,Rain-Thunderstorm,Summer,2014,29,7
2014-07-15,1973.280029,1977.359985,3328740000,1054,76.0,1.03,Rain-Thunderstorm,Summer,2014,29,7
2014-07-16,1981.569946,1976.3499760000002,3390950000,1517,77.0,0.01,Rain,Summer,2014,29,7
2014-07-17,1958.119995,1979.75,3381680000,1248,75.0,0.00,,Summer,2014,29,7
2014-07-18,1978.219971,1961.540039,3106060000,1289,75.0,0.00,,Summer,2014,29,7
2014-07-21,1973.630005,1976.930054,2611160000,874,74.0,0.00,,Summer,2014,30,7
2014-07-22,1983.530029,1975.6500239999998,2890480000,1183,76.0,0.00,,Summer,2014,30,7
2014-07-23,1987.0100100000002,1985.319946,2869720000,1308,77.0,0.02,Rain-Thunderstorm,Summer,2014,30,7
2014-07-24,1987.97998,1988.069946,3203530000,1232,78.0,0.00,Rain,Summer,2014,30,7
2014-07-25,1978.339966,1984.5999760000002,2638960000,1241,75.0,0.00,,Summer,2014,30,7
2014-07-28,1978.910034,1978.25,2803320000,791,77.0,0.51,Rain-Thunderstorm,Summer,2014,31,7
2014-07-29,1969.949951,1980.030029,3183300000,1211,72.0,0.00,,Summer,2014,31,7
2014-07-30,1970.069946,1973.209961,3448250000,1299,72.0,0.00,,Summer,2014,31,7
2014-07-31,1930.6700440000002,1965.140015,4193000000,1176,74.0,0.00,,Summer,2014,31,7
2014-08-01,1925.1500239999998,1929.800049,3789660000,1341,77.0,T,Rain,Summer,2014,31,8
2014-08-04,1938.9899899999998,1926.619995,3072920000,827,76.0,0.00,,Summer,2014,32,8
2014-08-05,1920.209961,1936.339966,3462520000,1193,78.0,0.00,,Summer,2014,32,8
2014-08-06,1920.2399899999998,1917.290039,3539150000,1341,78.0,T,Rain,Summer,2014,32,8
2014-08-07,1909.569946,1923.030029,3230520000,1258,77.0,0.00,,Summer,2014,32,8
2014-08-08,1931.589966,1910.3499760000002,2902280000,1265,75.0,0.00,,Summer,2014,32,8
2014-08-11,1936.9200440000002,1933.430054,2784890000,846,76.0,0.00,,Summer,2014,33,8
2014-08-12,1933.75,1935.72998,2611700000,1225,76.0,0.34,Rain,Summer,2014,33,8
2014-08-13,1946.719971,1935.5999760000002,2718020000,1307,77.0,2.92,Rain,Summer,2014,33,8
2014-08-14,1955.180054,1947.410034,2609460000,1306,73.0,0.00,,Summer,2014,33,8
2014-08-15,1955.060059,1958.869995,3023380000,1370,69.0,0.00,,Summer,2014,33,8
2014-08-18,1971.7399899999998,1958.359985,2638160000,853,73.0,0.00,,Summer,2014,34,8
2014-08-19,1981.5999760000002,1972.72998,2656430000,1257,72.0,0.00,,Summer,2014,34,8
2014-08-20,1986.5100100000002,1980.459961,2579560000,1419,73.0,0.00,,Summer,2014,34,8
2014-08-21,1992.369995,1986.819946,2638920000,1233,73.0,0.21,Rain-Thunderstorm,Summer,2014,34,8
2014-08-22,1988.4000239999998,1992.5999760000002,2301860000,1076,73.0,0.13,Rain,Summer,2014,34,8
2014-08-25,1997.9200440000002,1991.7399899999998,2233880000,807,75.0,0.00,,Summer,2014,35,8
2014-08-26,2000.02002,1998.589966,2451950000,1100,75.0,0.00,,Summer,2014,35,8
2014-08-27,2000.119995,2000.540039,2344350000,1279,77.0,0.00,,Summer,2014,35,8
2014-08-28,1996.7399899999998,1997.4200440000002,2282400000,1204,76.0,0.00,,Summer,2014,35,8
2014-08-29,2003.369995,1998.449951,2259130000,1085,71.0,0.00,,Summer,2014,35,8
2014-09-02,2002.280029,2004.069946,2819980000,1048,83.0,0.00,,Summer,2014,36,9
2014-09-03,2000.719971,2003.569946,2809980000,1354,80.0,0.00,,Summer,2014,36,9
2014-09-04,1997.6500239999998,2001.6700440000002,3072410000,1285,77.0,0.00,Fog,Summer,2014,36,9
2014-09-05,2007.709961,1998.0,2818300000,1399,78.0,0.00,,Summer,2014,36,9
2014-09-08,2001.540039,2007.1700440000002,2789090000,831,72.0,0.00,,Summer,2014,37,9
2014-09-09,1988.439941,2000.72998,2882830000,1095,70.0,T,,Summer,2014,37,9
2014-09-10,1995.689941,1988.410034,2912430000,1369,71.0,0.00,,Summer,2014,37,9
2014-09-11,1997.449951,1992.8499760000002,2941690000,1308,77.0,0.00,,Summer,2014,37,9
2014-09-12,1985.540039,1996.7399899999998,3206570000,1256,71.0,0.00,,Summer,2014,37,9
2014-09-15,1984.130005,1986.040039,2776530000,923,63.0,0.00,,Summer,2014,38,9
2014-09-16,1998.97998,1981.930054,3160310000,1298,64.0,0.26,Rain,Summer,2014,38,9
2014-09-17,2001.569946,1999.300049,3209420000,1327,64.0,0.00,,Summer,2014,38,9
2014-09-18,2011.359985,2003.069946,3235340000,1367,68.0,0.00,,Summer,2014,38,9
2014-09-19,2010.4000239999998,2012.7399899999998,4880220000,1301,62.0,0.00,,Summer,2014,38,9
2014-09-22,1994.290039,2009.0799559999998,3349670000,861,64.0,T,Rain,Summer,2014,39,9
2014-09-23,1982.77002,1992.780029,3279350000,1067,60.0,0.00,,Autumn,2014,39,9
2014-09-24,1998.300049,1983.339966,3313850000,1177,64.0,0.00,,Autumn,2014,39,9
2014-09-25,1965.9899899999998,1997.319946,3273050000,853,62.0,0.23,Rain,Autumn,2014,39,9
2014-09-26,1982.8499760000002,1966.219971,2929440000,1002,69.0,0.00,,Autumn,2014,39,9
2014-09-29,1977.800049,1978.959961,3094440000,767,71.0,T,Rain,Autumn,2014,40,9
2014-09-30,1972.290039,1978.209961,3951100000,1019,66.0,0.03,Rain,Autumn,2014,40,9
2014-10-01,1946.160034,1971.439941,4188590000,1279,65.0,T,Rain,Autumn,2014,40,10
2014-10-02,1946.1700440000002,1945.8299559999998,4012510000,1366,65.0,0.00,,Autumn,2014,40,10
2014-10-03,1967.9000239999998,1948.119995,3560970000,1304,62.0,0.00,,Autumn,2014,40,10
2014-10-06,1964.819946,1970.0100100000002,3358220000,901,58.0,0.00,,Autumn,2014,41,10
2014-10-07,1935.0999760000002,1962.359985,3687870000,1237,70.0,0.02,Rain,Autumn,2014,41,10
2014-10-08,1968.890015,1935.550049,4441890000,1422,69.0,0.02,Rain,Autumn,2014,41,10
2014-10-09,1928.209961,1967.680054,4344020000,1417,63.0,0.00,,Autumn,2014,41,10
2014-10-10,1906.130005,1925.630005,4550540000,1232,58.0,T,,Autumn,2014,41,10
2014-10-13,1874.7399899999998,1905.6500239999998,4352580000,831,56.0,0.08,Rain,Autumn,2014,42,10
2014-10-14,1877.699951,1877.109985,4812010000,1384,70.0,0.00,,Autumn,2014,42,10
2014-10-15,1862.4899899999998,1874.180054,6090800000,1372,72.0,0.01,Rain,Autumn,2014,42,10
2014-10-16,1862.7600100000002,1855.949951,5073150000,1262,66.0,0.78,Rain,Autumn,2014,42,10
2014-10-17,1886.7600100000002,1864.910034,4482120000,1375,66.0,0.00,,Autumn,2014,42,10
2014-10-20,1904.0100100000002,1885.619995,3331210000,855,52.0,0.00,,Autumn,2014,43,10
2014-10-21,1941.280029,1909.380005,3987090000,1316,60.0,0.05,Rain,Autumn,2014,43,10
2014-10-22,1927.109985,1941.290039,3761930000,1149,55.0,1.42,Rain-Thunderstorm,Autumn,2014,43,10
2014-10-23,1950.819946,1931.02002,3789250000,1020,53.0,0.12,Rain,Autumn,2014,43,10
2014-10-24,1964.5799559999998,1951.589966,3078380000,1250,57.0,0.00,,Autumn,2014,43,10
2014-10-27,1961.630005,1962.969971,3538860000,787,57.0,0.00,,Autumn,2014,44,10
2014-10-28,1985.050049,1964.140015,3653260000,1203,59.0,0.00,,Autumn,2014,44,10
2014-10-29,1982.300049,1983.290039,3740350000,1238,63.0,0.03,Rain,Autumn,2014,44,10
2014-10-30,1994.6500239999998,1979.4899899999998,3586150000,1199,54.0,0.00,Fog,Autumn,2014,44,10
2014-10-31,2018.050049,2001.199951,4292290000,829,51.0,0.01,Rain,Autumn,2014,44,10
2014-11-03,2017.810059,2018.209961,3555440000,760,51.0,0.00,,Autumn,2014,45,11
2014-11-04,2012.0999760000002,2015.810059,3956260000,1075,59.0,0.00,,Autumn,2014,45,11
2014-11-05,2023.569946,2015.290039,3766590000,1369,59.0,0.00,,Autumn,2014,45,11
