Year,Week,Close,Num Arrests,Mean.TemperatureF,Month
2014,33,1945.5260256000001,1210.8,74.2,8.0
2014,34,1984.1239990000001,1167.6,72.8,8.0
2014,35,1999.6340088000002,1095.0,74.8,8.0
2014,36,2002.0899962499998,1271.5,79.5,9.0
2014,37,1993.7319822000002,1171.8,72.2,9.0
2014,38,2001.287988,1243.2,64.2,9.0
2014,39,1984.8400148,992.0,63.8,9.0
2014,40,1962.064038,1147.0,65.8,9.6
2014,41,1940.6299806000002,1241.8,63.6,10.0
2014,42,1872.8899902,1244.8,66.0,10.0
2014,43,1937.5599852,1118.0,55.4,10.0
2014,44,1988.3360352,1051.2,56.8,10.0
2014,45,2023.3219972000002,1126.2,53.8,11.0
2014,46,2039.0679931999998,1140.4,48.6,11.0
2014,47,2051.6179932,1084.2,37.4,11.0
2014,48,2069.2075195,837.0,48.5,11.0
2014,49,2068.3220214000003,883.4,44.8,12.0
2014,50,2036.7860108,825.0,37.2,12.0
2014,51,2021.4279783999998,893.2,41.8,12.0
2014,52,2082.839966,294.5,47.25,12.0
2015,1,2058.199951,469.0,40.0,1.0
2015,2,2031.2079833999996,660.2,23.8,1.0
2015,3,2014.9300294,1070.0,31.0,1.0
2015,4,2042.4100035,1242.25,34.75,1.0
2015,5,2021.0080322,842.0,26.6,1.0
2015,6,2046.0760011999998,991.6,24.6,2.0
2015,7,2073.8660154,1116.2,27.0,2.0
2015,8,2101.942505,1075.5,18.75,2.0
2015,9,2110.8479978,1061.8,24.8,2.0
2015,10,2099.2,955.8,29.8,3.0
2015,11,2056.6359618,1147.6,43.0,3.0
2015,12,2090.4680176,1019.0,39.8,3.0
2015,13,2074.8279786,1054.6,39.6,3.0
2015,14,2070.19494625,1014.75,44.75,3.5
2015,15,2086.4180176,997.6,46.8,4.0
2015,16,2096.213965,1120.4,57.4,4.0
2015,17,2107.253955,1084.8,52.2,4.0
2015,18,2104.8660158,1011.2,57.8,4.2
2015,19,2097.6399902,903.0,63.6,5.0
2015,20,2109.3520506,1081.2,66.6,5.0
2015,21,2127.9520507999996,1036.8,63.0,5.0
2015,22,2113.96496575,1054.0,69.25,5.0
2015,23,2104.8140624,1024.0,59.4,6.0
2015,24,2093.5200192,1051.8,73.8,6.0
2015,25,2102.4779784,1046.0,73.4,6.0
2015,26,2111.8860352,1005.8,78.2,6.0
2015,27,2068.73748775,972.75,74.75,6.5
2015,28,2064.9420655999998,996.8,78.4,7.0
2015,29,2113.3759766,1047.8,76.0,7.0
2015,30,2108.6879392,1073.4,81.6,7.0
2015,31,2096.3859863999996,953.4,82.0,7.0
2015,32,2090.4660644000005,1145.2,79.6,8.0
2015,33,2089.8459961999997,1116.0,77.4,8.0
2015,34,2057.117993,1090.6,81.4,8.0
2015,35,1935.5719969999998,1060.6,76.6,8.0
2015,36,1941.4479982,1031.4,80.6,8.8
2015,37,1956.1975402499997,1055.75,78.0,9.0
2015,38,1974.9320068000002,1086.0,72.2,9.0
2015,39,1942.4099854,967.8,68.6,9.0
2015,40,1912.2139892,910.4,65.4,9.4
2015,41,1998.2240235999998,1103.8,63.6,10.0
2015,42,2014.4719724000001,1094.2,62.6,10.0
2015,43,2042.2059814,1049.0,56.6,10.0
2015,44,2079.2379884,792.8,57.2,10.0
2015,45,2103.056006,997.6,61.2,11.0
2015,46,2060.8620118,983.0,54.2,11.0
2015,47,2071.5239744,1032.6,54.2,11.0
2015,48,2088.6775512500003,844.25,44.0,11.0
2015,49,2080.7719726000005,971.8,48.4,11.8
2015,50,2050.5760252,965.4,49.0,12.0
2015,51,2037.1720214000002,903.8,53.8,12.0
2015,52,2046.3500060000001,635.5,55.5,12.0
2015,53,2060.5400387500003,638.0,44.5,12.0
